match_id,date_x,home_team,away_team,result,date_y,home_win_odds,draw_odds,away_win_odds,favorite
EPL2425_001,2024-08-12,Everton,Liverpool,1,2024-08-12,4.6,4.93,1.88,Liverpool
EPL2425_002,2024-08-11,West Ham,Newcastle,2,2024-08-11,3.09,5.36,2.26,Newcastle
EPL2425_003,2024-08-11,Chelsea,Brighton,2,2024-08-11,2.19,5.9,3.06,Brighton
EPL2425_004,2024-08-11,Burnley,Arsenal,0,2024-08-11,3.3,5.06,2.21,Arsenal
EPL2425_005,2024-08-10,Brentford,Fulham,2,2024-08-10,4.18,3.36,2.41,Fulham
EPL2425_006,2024-08-10,Nottingham Forest,Luton,0,2024-08-10,2.67,3.5,3.42,Luton
EPL2425_007,2024-08-10,Sheffield United,Man United,2,2024-08-10,3.21,3.92,2.59,Man United
EPL2425_008,2024-08-11,Wolves,Man City,0,2024-08-11,3.12,4.11,2.57,Man City
EPL2425_009,2024-08-10,Bournemouth,Tottenham,2,2024-08-10,2.06,4.5,4.07,Tottenham
EPL2425_010,2024-08-10,Crystal Palace,Aston Villa,1,2024-08-10,2.83,4.17,2.79,Aston Villa
EPL2425_011,2024-08-18,Brighton,West Ham,2,2024-08-18,4.44,4.03,2.09,West Ham
EPL2425_012,2024-08-19,Newcastle,Fulham,0,2024-08-19,3.03,4.31,2.56,Fulham
EPL2425_013,2024-08-18,Aston Villa,Man United,0,2024-08-18,2.88,5.12,2.44,Man United
EPL2425_014,2024-08-19,Bournemouth,Sheffield United,0,2024-08-19,2.66,4.03,3.04,Sheffield United
EPL2425_015,2024-08-19,Brentford,Tottenham,0,2024-08-19,3.37,5.2,2.16,Tottenham
EPL2425_016,2024-08-19,Luton,Arsenal,0,2024-08-19,2.99,3.58,2.95,Arsenal
EPL2425_017,2024-08-19,Man City,Burnley,0,2024-08-19,3.13,4.79,2.36,Burnley
EPL2425_018,2024-08-19,Wolves,Everton,1,2024-08-19,2.52,4.69,2.93,Everton
EPL2425_019,2024-08-18,Crystal Palace,Chelsea,2,2024-08-18,2.67,3.43,3.49,Chelsea
EPL2425_020,2024-08-17,Nottingham Forest,Liverpool,0,2024-08-17,3.71,3.03,2.83,Liverpool
EPL2425_021,2024-08-24,Fulham,Bournemouth,2,2024-08-24,2.61,3.34,3.71,Bournemouth
EPL2425_022,2024-08-25,Liverpool,Tottenham,1,2024-08-25,3.27,4.11,2.48,Tottenham
EPL2425_023,2024-08-24,Chelsea,West Ham,0,2024-08-24,3.79,3.62,2.43,West Ham
EPL2425_024,2024-08-24,Brentford,Everton,1,2024-08-24,2.98,3.97,2.74,Everton
EPL2425_025,2024-08-24,Man City,Luton,0,2024-08-24,2.98,4.02,2.72,Luton
EPL2425_026,2024-08-26,Sheffield United,Arsenal,1,2024-08-26,2.17,4.28,3.87,Arsenal
EPL2425_027,2024-08-25,Aston Villa,Crystal Palace,0,2024-08-25,3.04,3.46,2.98,Crystal Palace
EPL2425_028,2024-08-24,Nottingham Forest,Man United,0,2024-08-24,2.41,4.18,3.35,Man United
EPL2425_029,2024-08-25,Wolves,Brighton,0,2024-08-25,2.43,4.14,3.33,Brighton
EPL2425_030,2024-08-26,Newcastle,Burnley,1,2024-08-26,2.27,4.77,3.32,Burnley
EPL2425_031,2024-08-31,Arsenal,Man City,0,2024-08-31,2.71,3.46,3.39,Man City
EPL2425_032,2024-08-31,Sheffield United,Chelsea,2,2024-08-31,3.66,4.48,2.19,Chelsea
EPL2425_033,2024-09-01,Wolves,Man United,0,2024-09-01,2.54,4.42,3.02,Man United
EPL2425_034,2024-09-01,Luton,Nottingham Forest,1,2024-09-01,3.04,2.85,3.66,Nottingham Forest
EPL2425_035,2024-09-01,Newcastle,Brighton,0,2024-09-01,2.29,6.79,2.72,Brighton
EPL2425_036,2024-09-01,West Ham,Fulham,1,2024-09-01,2.16,4.21,3.97,Fulham
EPL2425_037,2024-08-31,Aston Villa,Brentford,1,2024-08-31,3.65,4.13,2.29,Brentford
EPL2425_038,2024-09-01,Burnley,Everton,1,2024-09-01,2.52,4.41,3.04,Everton
EPL2425_039,2024-08-31,Liverpool,Bournemouth,2,2024-08-31,2.97,5.55,2.3,Bournemouth
EPL2425_040,2024-09-02,Crystal Palace,Tottenham,0,2024-09-02,4.63,3.98,2.06,Tottenham
EPL2425_041,2024-09-09,Newcastle,Sheffield United,1,2024-09-09,3.69,2.97,2.9,Sheffield United
EPL2425_042,2024-09-07,Man United,Aston Villa,2,2024-09-07,2.18,4.15,3.96,Aston Villa
EPL2425_043,2024-09-08,Arsenal,Everton,0,2024-09-08,3.06,5.59,2.24,Everton
EPL2425_044,2024-09-09,Man City,Nottingham Forest,0,2024-09-09,2.61,3.92,3.18,Nottingham Forest
EPL2425_045,2024-09-08,Brentford,West Ham,0,2024-09-08,3.09,3.73,2.77,West Ham
EPL2425_046,2024-09-08,Tottenham,Brighton,2,2024-09-08,3.26,3.07,3.12,Brighton
EPL2425_047,2024-09-07,Liverpool,Bournemouth,1,2024-09-07,2.15,4.16,4.04,Bournemouth
EPL2425_048,2024-09-08,Luton,Chelsea,2,2024-09-08,2.38,4.06,3.49,Chelsea
EPL2425_049,2024-09-08,Fulham,Burnley,0,2024-09-08,3.16,3.9,2.64,Burnley
EPL2425_050,2024-09-09,Crystal Palace,Wolves,0,2024-09-09,3.29,3.45,2.79,Wolves
EPL2425_051,2024-09-15,Sheffield United,Wolves,0,2024-09-15,2.28,4.33,3.53,Wolves
EPL2425_052,2024-09-15,Aston Villa,Bournemouth,0,2024-09-15,2.53,4.12,3.17,Bournemouth
EPL2425_053,2024-09-15,Man United,West Ham,0,2024-09-15,3.78,3.72,2.39,West Ham
EPL2425_054,2024-09-16,Nottingham Forest,Brighton,0,2024-09-16,2.1,5.7,3.31,Brighton
EPL2425_055,2024-09-14,Chelsea,Man City,1,2024-09-14,3.17,3.46,2.87,Man City
EPL2425_056,2024-09-15,Fulham,Newcastle,1,2024-09-15,3.23,4.94,2.27,Newcastle
EPL2425_057,2024-09-14,Burnley,Tottenham,0,2024-09-14,3.54,3.51,2.6,Tottenham
EPL2425_058,2024-09-15,Luton,Arsenal,0,2024-09-15,3.04,4.65,2.45,Arsenal
EPL2425_059,2024-09-15,Liverpool,Everton,1,2024-09-15,2.86,3.45,3.2,Everton
EPL2425_060,2024-09-14,Crystal Palace,Brentford,1,2024-09-14,1.97,5.88,3.65,Crystal Palace
EPL2425_061,2024-09-23,Tottenham,Man City,0,2024-09-23,3.04,4.06,2.65,Man City
EPL2425_062,2024-09-23,Nottingham Forest,Chelsea,0,2024-09-23,3.01,4.1,2.66,Chelsea
EPL2425_063,2024-09-21,West Ham,Liverpool,1,2024-09-21,3.62,3.27,2.7,Liverpool
EPL2425_064,2024-09-23,Burnley,Arsenal,0,2024-09-23,2.72,5.11,2.57,Arsenal
EPL2425_065,2024-09-21,Everton,Sheffield United,2,2024-09-21,3.11,2.88,3.52,Sheffield United
EPL2425_066,2024-09-23,Man United,Wolves,2,2024-09-23,2.51,3.97,3.32,Wolves
EPL2425_067,2024-09-22,Newcastle,Brighton,1,2024-09-22,4.4,5.53,1.84,Brighton
EPL2425_068,2024-09-23,Bournemouth,Brentford,0,2024-09-23,2.88,3.42,3.2,Brentford
EPL2425_069,2024-09-23,Fulham,Luton,0,2024-09-23,2.61,3.34,3.7,Luton
EPL2425_070,2024-09-23,Aston Villa,Crystal Palace,0,2024-09-23,2.1,4.14,4.28,Crystal Palace
EPL2425_071,2024-09-30,Aston Villa,Crystal Palace,0,2024-09-30,2.87,3.69,3.01,Crystal Palace
EPL2425_072,2024-09-29,Man City,Brighton,1,2024-09-29,3.22,3.65,2.72,Brighton
EPL2425_073,2024-09-29,Fulham,Arsenal,0,2024-09-29,1.93,4.94,4.29,Fulham
EPL2425_074,2024-09-30,Burnley,Everton,1,2024-09-30,3.43,4.0,2.43,Everton
EPL2425_075,2024-09-30,Newcastle,Luton,2,2024-09-30,3.46,4.14,2.37,Luton
EPL2425_076,2024-09-30,Brentford,Chelsea,1,2024-09-30,2.58,4.42,2.95,Chelsea
EPL2425_077,2024-09-28,Wolves,Bournemouth,0,2024-09-28,2.36,4.18,3.46,Bournemouth
EPL2425_078,2024-09-30,Liverpool,Nottingham Forest,0,2024-09-30,2.46,4.84,2.95,Nottingham Forest
EPL2425_079,2024-09-30,Tottenham,Man United,0,2024-09-30,3.93,4.59,2.08,Man United
EPL2425_080,2024-09-30,West Ham,Sheffield United,2,2024-09-30,2.31,4.88,3.18,Sheffield United
EPL2425_081,2024-10-05,Liverpool,Bournemouth,1,2024-10-05,2.38,3.54,4.01,Bournemouth
EPL2425_082,2024-10-06,Brighton,Luton,0,2024-10-06,2.29,5.26,3.08,Luton
EPL2425_083,2024-10-07,Burnley,Sheffield United,2,2024-10-07,2.94,3.42,3.12,Sheffield United
EPL2425_084,2024-10-07,Man City,Brentford,1,2024-10-07,3.3,6.06,2.07,Brentford
EPL2425_085,2024-10-07,Aston Villa,Arsenal,2,2024-10-07,3.12,4.9,2.34,Arsenal
EPL2425_086,2024-10-05,Fulham,Tottenham,2,2024-10-05,3.79,3.37,2.55,Tottenham
EPL2425_087,2024-10-05,Newcastle,Everton,0,2024-10-05,4.08,5.72,1.88,Everton
EPL2425_088,2024-10-05,Wolves,Nottingham Forest,2,2024-10-05,2.8,3.34,3.38,Nottingham Forest
EPL2425_089,2024-10-05,Chelsea,West Ham,0,2024-10-05,2.58,6.08,2.5,West Ham
EPL2425_090,2024-10-07,Man United,Crystal Palace,0,2024-10-07,4.44,4.31,2.02,Crystal Palace
EPL2425_091,2024-10-14,Man City,Arsenal,0,2024-10-14,2.76,3.75,3.08,Arsenal
EPL2425_092,2024-10-12,Burnley,West Ham,1,2024-10-12,2.07,4.31,4.24,West Ham
EPL2425_093,2024-10-12,Newcastle,Fulham,0,2024-10-12,3.23,3.79,2.64,Fulham
EPL2425_094,2024-10-13,Liverpool,Bournemouth,0,2024-10-13,2.42,3.8,3.62,Bournemouth
EPL2425_095,2024-10-14,Aston Villa,Everton,1,2024-10-14,3.68,3.13,2.76,Everton
EPL2425_096,2024-10-14,Crystal Palace,Man United,0,2024-10-14,2.8,4.97,2.53,Man United
EPL2425_097,2024-10-12,Wolves,Brentford,0,2024-10-12,2.2,4.43,3.68,Brentford
EPL2425_098,2024-10-13,Sheffield United,Nottingham Forest,1,2024-10-13,3.38,3.81,2.54,Nottingham Forest
EPL2425_099,2024-10-14,Chelsea,Tottenham,2,2024-10-14,1.91,5.61,3.97,Chelsea
EPL2425_100,2024-10-14,Brighton,Luton,2,2024-10-14,2.25,4.04,3.85,Luton
EPL2425_101,2024-10-21,Crystal Palace,Fulham,2,2024-10-21,2.63,4.32,2.94,Fulham
EPL2425_102,2024-10-19,Man City,Bournemouth,1,2024-10-19,3.0,3.85,2.78,Bournemouth
EPL2425_103,2024-10-19,Arsenal,Aston Villa,0,2024-10-19,2.93,4.04,2.75,Aston Villa
EPL2425_104,2024-10-20,Sheffield United,Tottenham,0,2024-10-20,3.37,5.03,2.19,Tottenham
EPL2425_105,2024-10-20,West Ham,Burnley,0,2024-10-20,3.18,4.71,2.35,Burnley
EPL2425_106,2024-10-20,Chelsea,Man United,0,2024-10-20,4.05,3.64,2.32,Man United
EPL2425_107,2024-10-19,Brighton,Everton,0,2024-10-19,3.12,3.9,2.66,Everton
EPL2425_108,2024-10-19,Luton,Newcastle,2,2024-10-19,3.39,3.47,2.71,Newcastle
EPL2425_109,2024-10-21,Nottingham Forest,Brentford,2,2024-10-21,2.66,5.26,2.59,Brentford
EPL2425_110,2024-10-20,Wolves,Liverpool,0,2024-10-20,2.8,3.73,3.05,Liverpool
EPL2425_111,2024-10-26,Nottingham Forest,Newcastle,2,2024-10-26,3.36,3.47,2.72,Newcastle
EPL2425_112,2024-10-27,Chelsea,Luton,2,2024-10-27,2.4,4.26,3.32,Luton
EPL2425_113,2024-10-27,Liverpool,Tottenham,2,2024-10-27,2.58,4.46,2.93,Tottenham
EPL2425_114,2024-10-26,Aston Villa,Arsenal,0,2024-10-26,2.27,5.38,3.08,Arsenal
EPL2425_115,2024-10-27,Man City,West Ham,0,2024-10-27,3.13,5.01,2.31,West Ham
EPL2425_116,2024-10-26,Fulham,Everton,2,2024-10-26,2.08,5.56,3.42,Everton
EPL2425_117,2024-10-28,Bournemouth,Sheffield United,2,2024-10-28,3.49,5.59,2.05,Sheffield United
EPL2425_118,2024-10-28,Wolves,Man United,1,2024-10-28,2.54,4.15,3.14,Man United
EPL2425_119,2024-10-26,Crystal Palace,Burnley,0,2024-10-26,2.84,3.47,3.21,Burnley
EPL2425_120,2024-10-28,Brighton,Brentford,2,2024-10-28,2.45,3.44,3.96,Brentford
EPL2425_121,2024-11-04,Sheffield United,Bournemouth,2,2024-11-04,2.76,5.05,2.55,Bournemouth
EPL2425_122,2024-11-03,Man United,Everton,0,2024-11-03,2.01,4.78,4.07,Everton
EPL2425_123,2024-11-04,Brentford,Fulham,0,2024-11-04,2.76,3.43,3.35,Fulham
EPL2425_124,2024-11-04,Tottenham,Brighton,1,2024-11-04,2.68,4.22,2.92,Brighton
EPL2425_125,2024-11-02,Luton,West Ham,2,2024-11-02,2.74,3.59,3.24,West Ham
EPL2425_126,2024-11-04,Arsenal,Man City,2,2024-11-04,2.54,5.66,2.61,Man City
EPL2425_127,2024-11-03,Chelsea,Burnley,2,2024-11-03,2.82,4.12,2.82,Burnley
EPL2425_128,2024-11-03,Aston Villa,Newcastle,2,2024-11-03,3.13,3.72,2.75,Newcastle
EPL2425_129,2024-11-04,Liverpool,Nottingham Forest,1,2024-11-04,2.7,3.63,3.26,Nottingham Forest
EPL2425_130,2024-11-02,Crystal Palace,Wolves,0,2024-11-02,2.73,3.88,3.05,Wolves
EPL2425_131,2024-11-10,Newcastle,Liverpool,0,2024-11-10,2.05,6.47,3.22,Liverpool
EPL2425_132,2024-11-09,Luton,Aston Villa,1,2024-11-09,2.1,4.42,4.01,Aston Villa
EPL2425_133,2024-11-10,Man United,Everton,2,2024-11-10,3.61,3.63,2.5,Everton
EPL2425_134,2024-11-11,Tottenham,Bournemouth,0,2024-11-11,2.56,4.33,3.02,Bournemouth
EPL2425_135,2024-11-10,Arsenal,Wolves,0,2024-11-10,2.97,3.96,2.75,Wolves
EPL2425_136,2024-11-10,Man City,Sheffield United,1,2024-11-10,2.34,6.16,2.75,Sheffield United
EPL2425_137,2024-11-09,Burnley,Crystal Palace,0,2024-11-09,3.82,3.9,2.3,Crystal Palace
EPL2425_138,2024-11-10,Brighton,West Ham,0,2024-11-10,2.26,4.08,3.77,West Ham
EPL2425_139,2024-11-09,Nottingham Forest,Fulham,0,2024-11-09,4.19,4.11,2.13,Fulham
EPL2425_140,2024-11-09,Chelsea,Brentford,1,2024-11-09,2.96,5.58,2.3,Brentford
EPL2425_141,2024-11-16,Man City,Arsenal,0,2024-11-16,2.33,5.97,2.81,Arsenal
EPL2425_142,2024-11-16,Nottingham Forest,West Ham,0,2024-11-16,2.56,4.82,2.82,West Ham
EPL2425_143,2024-11-18,Man United,Burnley,0,2024-11-18,3.28,4.14,2.46,Burnley
EPL2425_144,2024-11-18,Wolves,Everton,0,2024-11-18,2.65,4.54,2.82,Everton
EPL2425_145,2024-11-17,Brighton,Chelsea,2,2024-11-17,2.3,4.7,3.27,Chelsea
EPL2425_146,2024-11-16,Crystal Palace,Liverpool,0,2024-11-16,3.32,4.29,2.39,Liverpool
EPL2425_147,2024-11-18,Sheffield United,Newcastle,2,2024-11-18,3.9,3.73,2.33,Newcastle
EPL2425_148,2024-11-18,Brentford,Tottenham,0,2024-11-18,2.97,3.76,2.85,Tottenham
EPL2425_149,2024-11-18,Bournemouth,Aston Villa,1,2024-11-18,3.92,3.3,2.53,Aston Villa
EPL2425_150,2024-11-18,Fulham,Luton,0,2024-11-18,2.19,4.86,3.45,Luton
EPL2425_151,2024-11-24,Chelsea,Luton,2,2024-11-24,4.02,4.13,2.16,Luton
EPL2425_152,2024-11-24,Aston Villa,Brentford,0,2024-11-24,2.91,3.55,3.07,Brentford
EPL2425_153,2024-11-25,Everton,Arsenal,0,2024-11-25,3.68,5.14,2.06,Arsenal
EPL2425_154,2024-11-24,Liverpool,Tottenham,2,2024-11-24,3.05,4.94,2.37,Tottenham
EPL2425_155,2024-11-25,Sheffield United,Man City,0,2024-11-25,2.53,3.56,3.61,Man City
EPL2425_156,2024-11-24,Brighton,West Ham,0,2024-11-24,3.08,4.42,2.49,West Ham
EPL2425_157,2024-11-25,Fulham,Wolves,2,2024-11-25,3.27,4.35,2.4,Wolves
EPL2425_158,2024-11-25,Man United,Burnley,0,2024-11-25,2.97,6.56,2.16,Burnley
EPL2425_159,2024-11-25,Nottingham Forest,Bournemouth,0,2024-11-25,2.89,3.71,2.97,Bournemouth
EPL2425_160,2024-11-25,Newcastle,Crystal Palace,1,2024-11-25,2.28,4.87,3.25,Crystal Palace
EPL2425_161,2024-11-30,Everton,Tottenham,1,2024-11-30,2.53,4.11,3.19,Tottenham
EPL2425_162,2024-12-01,Newcastle,Wolves,2,2024-12-01,2.59,4.88,2.76,Wolves
EPL2425_163,2024-12-02,Sheffield United,Man United,2,2024-12-02,2.28,4.33,3.54,Man United
EPL2425_164,2024-12-02,Burnley,Nottingham Forest,2,2024-12-02,2.74,3.99,2.96,Nottingham Forest
EPL2425_165,2024-11-30,Chelsea,Bournemouth,0,2024-11-30,3.15,3.52,2.85,Bournemouth
EPL2425_166,2024-12-01,West Ham,Crystal Palace,2,2024-12-01,3.78,5.01,2.05,Crystal Palace
EPL2425_167,2024-12-01,Brentford,Aston Villa,0,2024-12-01,2.47,5.37,2.76,Aston Villa
EPL2425_168,2024-12-01,Liverpool,Brighton,0,2024-12-01,3.38,3.3,2.82,Brighton
EPL2425_169,2024-11-30,Man City,Fulham,2,2024-11-30,3.24,4.43,2.39,Fulham
EPL2425_170,2024-11-30,Arsenal,Luton,1,2024-11-30,2.48,5.04,2.85,Luton
EPL2425_171,2024-12-08,Sheffield United,Man City,1,2024-12-08,2.31,4.73,3.25,Man City
EPL2425_172,2024-12-08,Crystal Palace,Liverpool,0,2024-12-08,3.81,4.04,2.26,Liverpool
EPL2425_173,2024-12-08,Newcastle,Everton,0,2024-12-08,3.5,4.52,2.25,Everton
EPL2425_174,2024-12-09,Bournemouth,Brentford,0,2024-12-09,3.42,3.08,2.98,Brentford
EPL2425_175,2024-12-08,Luton,Arsenal,1,2024-12-08,3.76,3.91,2.32,Arsenal
EPL2425_176,2024-12-09,Chelsea,Nottingham Forest,1,2024-12-09,2.65,6.4,2.39,Nottingham Forest
EPL2425_177,2024-12-07,Aston Villa,Man United,0,2024-12-07,2.35,4.16,3.49,Man United
EPL2425_178,2024-12-09,Brighton,West Ham,1,2024-12-09,3.09,3.82,2.72,West Ham
EPL2425_179,2024-12-09,Burnley,Wolves,0,2024-12-09,2.3,3.87,3.87,Wolves
EPL2425_180,2024-12-08,Tottenham,Fulham,1,2024-12-08,2.69,3.91,3.08,Fulham
EPL2425_181,2024-12-15,Burnley,Arsenal,0,2024-12-15,2.9,5.36,2.38,Arsenal
EPL2425_182,2024-12-14,Crystal Palace,Liverpool,0,2024-12-14,2.52,4.45,3.03,Liverpool
EPL2425_183,2024-12-15,Everton,Sheffield United,0,2024-12-15,2.43,5.01,2.93,Sheffield United
EPL2425_184,2024-12-15,Nottingham Forest,Brentford,2,2024-12-15,3.84,3.29,2.58,Brentford
EPL2425_185,2024-12-15,Aston Villa,Man City,0,2024-12-15,2.85,3.58,3.11,Man City
EPL2425_186,2024-12-14,Tottenham,Brighton,0,2024-12-14,3.25,3.09,3.12,Brighton
EPL2425_187,2024-12-14,Bournemouth,Chelsea,1,2024-12-14,2.16,4.61,3.66,Chelsea
EPL2425_188,2024-12-15,Luton,Newcastle,2,2024-12-15,3.07,2.96,3.45,Newcastle
EPL2425_189,2024-12-15,Fulham,West Ham,1,2024-12-15,3.43,3.71,2.56,West Ham
